Compound,Smiles,pka,prot_smiles,deprot_smiles,acid_base_type,acid_base_string,prot_charge,deprot_charge,CH_strength,XH_strength,HBA_strength,Hyd_Apolar,Hyd_Polar,Hyd,NCCC,CCNC,CCCO,CCNN,NCCN,CNNC,CNCN,NCCO,CNCO,CNNN,NCNN,CCSO,NCSO,nA,nN,nD,nC,nF,nQ,nG,nH,nI,nP,nL,nK,nM,nT,nY,nV,nW,LipinskiFailures,nBase,ALogp2,nAcid,nRings4,nRings7,tpsaEfficiency,WTPT.5,PetitjeanNumber,MDEC.44,MDEO.11,MDEO.12,MDEN.11,MDEN.12,MDEN.13,MDEN.23,MDEN.33,khs.sCH3,khs.dCH2,khs.tCH,khs.dsCH,khs.sssCH,khs.ddC,khs.dssC,khs.aaaC,khs.sNH2,khs.ssNH2,khs.dNH,khs.ssNH,khs.aaNH,khs.sssNH,khs.dsN,khs.aaN,khs.sssN,khs.ddsN,khs.aasN,khs.ssssN,khs.sOH,khs.dO,khs.ssO,khs.aaO,khs.sF,khs.sPH2,khs.dsssP,khs.sSH,khs.dS,khs.ssS,khs.aaS,khs.dssS,khs.ddssS,khs.sCl,khs.sssdAs,khs.sBr,khs.sI,HybRatio,FMF,SC.6,VC.4,VC.6,VCH.4,VCH.7,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,nHBDon,nHBAcc,apol
470,CC(C)(C(=O)O)c1nnnn1C1CCCCC1,3.700000048,CC(C)(C(=O)O)c1nnnn1C1CCCCC1,CC(C)(C(=O)[O-])c1nnnn1C1CCCCC1,acidic,A,0,-1,7.2202,1.0927,3.563,0.406118547,-16.64715583,-11.84096558,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16561984,3,0,0,0.339711888,12.64031185,0.5,0,0.5,0,0,0,0,1.889881575,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818181818,0.647058824,0.234708048,0.125,0.047821773,0,0.092746981,0,0,2,0,0,2,6,0,1,1,5,37.366274
484,CC(C)(C)C1CCn2nnnc2C(C(=O)O)C1,4.400000095,CC(C)(C)C1CCn2nnnc2C(C(=O)O)C1,CC(C)(C)C1CCn2nnnc2C(C(=O)[O-])C1,acidic,A,0,-1,6.637,1.1109,3.3386,0.407552581,-15.70924952,-11.66916826,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77056025,3,0,1,0.339711888,12.67464593,0.428571429,0,0.5,0,0,0,0,1.889881575,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818181818,0.588235294,0.144337567,0.288675135,0.144337567,0,0.032103434,0,0,2,0,0,4,2,2,1,1,5,37.366274
1010,CC1CCn2nnnc2C(C(=O)O)C1,3.200000048,CC1CCn2nnnc2C(C(=O)O)C1,CC1CCn2nnnc2C(C(=O)[O-])C1,acidic,A,0,-1,5.5654,1.1474,3.1717,-0.393044933,-14.89060707,-12.05050191,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56295009,3,0,1,0.412552981,12.64051452,0.5,0,0.5,0,0,0,0,1.889881575,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.714285714,0,0,0,0,0.032103434,0,0,2,0,0,2,2,2,0,1,5,28.085516
1931,CCn1nnnc1CC(=O)O,2.849999905,CCn1nnnc1CC(=O)O,CCn1nnnc1CC(=O)[O-],acidic,A,0,-1,4.848,1.1654,3.0468,-0.138408222,-14.18056883,-11.42980402,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01347921,3,0,0,0.518374666,12.33449653,0.5,0,0.5,0,0,0,0,1.889881575,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.454545455,0,0,0,0,0.031213203,0,0,2,0,0,2,1,0,0,1,5,20.138344
3918,Cc1nnc(SCC2CS[C@@H]3C(=NC(=O)Cn4cnnn4)C(=O)N3C2C(=O)O)s1,2.099999905,Cc1nnc(SCC2CS[C@@H]3C(=NC(=O)Cn4cnnn4)C(=O)N3C2C(=O)O)s1,Cc1nnc(SCC2CS[C@@H]3C(=NC(=O)Cn4cnnn4)C(=O)N3C2C(=O)[O-])s1,acidic,A,0,-1,10.2126,1.2376,6.361,-2.13291109,-29.41790153,-24.23080784,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,1,0,2.89E-06,3,1,0,0.518159577,24.87279589,0.5,0,1.195266057,0,0,0,0,2.57346567,0.166666667,1,0,0,0,3,0,4,0,0,0,0,0,0,0,1,5,1,0,1,0,1,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0.5,0.793103448,0,0,0,0.064549722,0.662013225,0,0,4,1,0,5,1,1,0,1,11,54.683102
3921,Cc1nnn(CC(=O)O)n1,2.230000019,Cc1nnn(CC(=O)O)n1,Cc1nnn(CC(=O)[O-])n1,acidic,A,0,-1,4.1588,1.2538,2.8656,-0.402461759,-13.21802103,-10.54971319,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.20079361,3,0,0,0.569521482,12.24280554,0.5,0,0.5,0,0,0,0,2.381101578,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.021213203,0,0,2,0,0,2,0,0,0,1,5,17.044758
3922,Cc1nnnn1CC(=O)O,2.160000086,Cc1nnnn1CC(=O)O,Cc1nnnn1CC(=O)[O-],acidic,A,0,-1,3.9766,1.2325,2.7748,-0.405736138,-12.9039914,-10.65628585,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.29062881,3,0,0,0.569521482,12.21977969,0.4,0,0.5,0,0,0,0,1.889881575,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.021213203,0,0,2,0,0,2,0,0,0,1,5,17.044758
4070,Cn1nnc(CC(=O)O)n1,3.440000057,Cn1nnc(CC(=O)O)n1,Cn1nnc(CC(=O)[O-])n1,acidic,A,0,-1,4.2371,1.2156,2.957,-0.402031549,-13.60688337,-10.9876434,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13980121,3,0,0,0.569521482,12.10029445,0.5,0,0.5,0,0,0,0,2.381101578,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.021213203,0,0,2,0,0,0,1,0,0,1,5,17.044758
4071,Cn1nnnc1CC(=O)O,2.829999924,Cn1nnnc1CC(=O)O,Cn1nnnc1CC(=O)[O-],acidic,A,0,-1,4.1343,1.2017,2.8397,-0.405664436,-13.19555449,-11.20451721,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21613201,3,0,0,0.569521482,12.10102045,0.4,0,0.5,0,0,0,0,1.889881575,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.021213203,0,0,2,0,0,0,1,0,0,1,5,17.044758
4617,Nc1nnnn1CC(=O)O,2.380000114,Nc1nnnn1CC(=O)O,Nc1nnnn1CC(=O)[O-],acidic,A,0,-1,2.104,3.536,3.4421,-0.687882409,-15.60179254,-14.29223231,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.09453444,3,0,0,0.747460624,14.72974765,0.4,0,0.5,0,0,1.144714243,0.5,1.889881575,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.5,0,0,0,0,0.015236034,0,0,1,0,0,1,0,0,0,2,6,15.717965
